作品名称,简介
《洛神赋》,《洛神赋》是中国三国时期曹魏文学家曹植创作的辞赋名篇。此赋虚构了作者自己与洛神的邂逅相遇和彼此间的思慕爱恋，洛神形象美丽绝伦，人神之恋飘渺迷离，但由于人神道殊而不能结合，最后抒发了无限的悲伤怅惘之情。全篇大致可分为六段：第一段写作者从洛阳回封地时，在恍惚之际看到洛神伫立山崖；第二段写洛神容仪服饰之美；第三段写作者爱慕洛神既识礼仪又善言辞，虽相互赠答，但担心遇合受阻；第四段写洛神为“君王”之诚所感后将来而未至的情状和举动；第五段写洛神来临扈从之多，终以人神道殊，含恨离去；第六段写洛神去后作者对顾望思慕不忍离去的深情。全赋辞采华美，描写细腻，想象丰富，情思绻缱，若有寄托。
《七哀诗》,《七哀诗》是魏晋诗人曹植作的一首五言闺怨诗。这首诗借一个思妇对丈夫的思念和怨恨，比喻他和身为皇帝的曹丕之间的生疏“甚于路人”、“殊于胡越”，曲折地吐露了诗人在政治上遭受打击之后的怨愤心情。
《飞龙篇》,《飞龙篇》是描写登泰山遇仙真羽士的诗，现嵌在泰安譬庙汉柏院的碑墙上。自东汉张道陵在蜀地创天师道后，其信徒很多；黄巾军起义，就是以太平道相号召的。泰山周围，为太平道活动地区，道教传播亦广。当时道教流行炼丹服食，可以长生不老，子建遭兄曹丕的妒嫉，抑郁寡乐，其亦有惑于此，作为精神寄托。诗中多涉神仙之说。曹植早年间其实不信神仙之说，只是后来与李白一样在世俗失意后入道学仙。由此也写出来不少游仙诗，并且在他身上也有关于不少遇仙的传说。
《典论》,《典论》是最早的文艺理论批评专著。三国时代曹丕所著，写于曹丕做魏太子时期，原有22篇，后大都亡佚，只存《自叙》《论文》《论方术》三篇。
《燕歌行》,《燕歌行二首》是魏文帝曹丕的诗作，写一个女子思念在远方作客的丈夫，是言情的名作。全诗语言清丽，情致委婉，音节和谐，把人物情感表现得缠绵绯恻，凄婉动人。这是中国文学史上现存最古老的完整的七言诗，虽然它句句用韵，还存在用韵单调的缺点，但是在中国诗歌发展史上占有十分重要的地位。明代胡应麟说：“子桓《燕歌》二首，开千古妙境。”
《寡妇诗》,《寡妇诗》是魏晋时期政治家曹丕所作诗词之一。《寡妇诗》是作者在友人阮元瑜死后，伤其遗孀孤寡而作的。据《三国志·王粲传》裴松之注，阮瑀卒于建安十七年。诗当作于此后不久。
《悲愤诗》,《悲愤诗》是一首五言古诗、自传体骚体诗，东汉文学家蔡琰所作。全诗一百零八句，计五百四十字。这诗开头四十句叙遭祸被虏的原由和被虏入关途中的苦楚。次四十句叙在南匈奴的生活和听到被赎消息悲喜交集以及和“胡子”分别时的惨痛。最后二十八句叙归途和到家后所见所感。
《胡笳十八拍》,胡笳十八拍，中国乐府名诗，古琴名曲，相传为东汉末年蔡文姬以胡笳音色融入古琴中而作成，有“大胡笳”、“小胡笳”等39种不同的版本，传世最广的是明朝万历年间孙丕显《琴适》中的记载，根据该谱，胡笳十八拍是由18首歌曲组合的琴歌。
《大人先生传》,《大人先生传》是三国魏文学家阮籍的作品。这篇文章对当时司马氏的统治，尤其是虚伪的礼法制度，作了激烈的斥责和辛辣的嘲讽。全文音节整齐，基本用韵，时见对偶文句，铺排较多，具有赋体风格。
《咏怀八十二首》,《咏怀八十二首》是三国时期文学家阮籍的诗作。这八十二首诗是阮籍随感而写，后加以辑录，都是有感而作，而非一时之作。这八十二首诗可称千古杰作，为中国古代五言诗的发展作出了贡献。
《陶渊明集》,《陶渊明集》是1979年5月1日由中华书局出版的图书，作者是陶渊明。《陶渊明集》是南朝梁昭明太子萧统搜集陶渊明遗世作品，编为《陶渊明集》七卷，录一卷。
《归途赋》,清潭，读音qīng tán，汉语词语，指清澈的深渊。
《述祖德诗》,《述祖德诗》是南北朝山水诗开创者谢灵运的作品之一。
《淮阳感怀》,《淮阳感怀》是隋末起义军首领李密所作的一首五言古诗。这首诗通过对秋天寂寥的天光水色的特殊感受，通过对江岸边长满蓼草、洲渚上一望无际的芦苇，白花萧飒，掩映着远远近近的村落、竹篱茅舍隐约可见等一系列大自然多种多样的声色之美的描绘，宣泄怀才不遇之郁忿，抒写了由此而生的惆伥之情。诗句由写景转入述怀，语意直白。
《滕王阁序》,《滕王阁序》是唐代文学家王勃于上元二年所创作的一篇骈文。文章由洪州的地势、人才写到宴会；写滕王阁的壮丽，眺望的广远，扣紧秋日，景色鲜明；再从宴会娱游写到人生遇合，抒发身世之感；接着写作者的遭遇并表白要自励志节，最后以应命赋诗和自谦之辞作结。全文表露了作者的抱负和怀才不遇的愤懑心情。文章除少数虚词以外，通篇对偶。句法以四字句、六字句为多，对得整齐；又几乎是通篇用典，用得比较自然而恰当，显得典雅而工巧。
《送杜少府之任蜀州》,《送杜少府之任蜀州》是唐代诗人王勃的作品。此诗意在慰勉友人勿在离别之时悲哀。首联描画出送别地与友人出发地的形势和风貌，隐含送别的情意，严整对仗；颔联为宽慰之辞，点明离别的必然性，以散调相承，以实转虚，文情跌宕；颈联奇峰突起，高度地概括了“友情深厚，江山难阻”的情景，使友情升华到一种更高的美学境界；尾联点出“送”的主题，而且继续劝勉、叮咛朋友，也是自己情怀的吐露。此诗开合顿挫，气脉流通，意境旷达，堪称送别诗中的不世经典，全诗仅仅四十个字，却纵横捭阖，变化无穷，仿佛在一张小小的画幅上，包容着无数的丘壑，有看不尽的风光，至今广泛流传。
《长安古意》,《长安古意》是唐代诗人卢照邻创作的一首七言古诗。这是卢照邻的代表作，也是初唐七言歌行的代表作之一。此诗托古意而写今情，展现了当时长安社会生活的广阔画卷。在这首长篇七言诗中，诗人用传统题材写自身的感受，以铺陈的笔法，描称”正教三大高手之一“绘当时京都长安的现实生活场景，流露出对美好生活的热爱和向往之情；写权贵阶层骄奢淫逸的生活及内部倾轧的情况，深寓讽喻之旨；同时抒发了怀才不遇的寂寥之感和牢骚不平之气，也揭示了世事无常、荣华难久的生活哲理。
《十五夜观灯》,《十五夜观灯》是唐代诗人卢照邻的诗词之一，描述元宵节燃灯的盛况，绚丽多彩的元宵灯火将大地点缀得五彩缤纷，人们在节日之夜观灯赏月，尽情歌舞游戏。青年男女在这个欢乐祥和的日子里相互表达爱慕之意。
《元日述怀》,《元日述怀》的作者是卢照邻，属于五言律诗类型
《从军行》,《从军行》是唐代诗人杨炯的诗作。此诗借用乐府旧题“从军行”，描写一个读书士子从军边塞、参加战斗的全过程。前两句写边报传来，激起了志士的爱国热情；第三四句描写了军队辞京后的出战；第五六句通过景物描写烘托激烈的战斗场面；最后两句直接抒发从戎书生保边卫国的壮志豪情。全诗虽仅四十字，但既揭示出人物的心理活动，又渲染了环境气氛，笔力极其雄劲，同时对仗工整，使诗更有节奏和气势。
《战城南》,《战城南》是出于全唐诗：卷50_13，创作于初唐，用乐府旧题写的一首五言律诗，作者是杨炯。诗中的主人公在叙述战争时，豪情满怀，信心百倍，充满了胜利的希冀，雄浑激越，洋溢着浓烈的爱国之情。
《为徐敬业讨武曌檄》,《为徐敬业讨武曌檄》是唐代文学家骆宾王创作的一篇檄文。此文开篇即历数武则天之累累罪恶，层层揭露，有如贯珠，事昭理辨，并点明武氏乃亡国之祸根，从而道出讨伐武氏之必要性；再写起兵讨武之正义性，气盛而辞断；最后向敌方晓以赏罪诱胁。全文综合运用对仗、用典、夸张等表现手法来烘托文章气势，对人晓之以理，动之以情，表现出强有力的说服力和号召力。
《帝京篇》,《帝京篇》是唐代诗人骆宾王的作品。此诗是作者富于现实主义精神的优秀名篇。它不仅是诗人的代表作，更是初唐七言歌行的代表作之一，堪与卢照邻的《长安古意》媲美，被称为姊妹篇。
《畴昔篇》,《畴昔篇》是唐代骆宾王创作的一首杂文古诗。
《咏鹅》,《咏鹅》是初唐诗人骆宾王于七岁时写的一首五言古诗。 这首诗开篇先声夺人，“鹅！鹅！鹅！”写出鹅的声响美，又通过“曲项”与“向天”、“白毛”与“绿水”、“红掌”与“清波”的对比写出鹅的线条美与色彩美，同时，“歌”、“浮”、“拨”等字又写出鹅的动态美，听觉与视觉、静态与动态、音声与色彩完美结合，将鹅的形神活现而出。
《感遇》,《感遇·其二》是唐朝陈子昂创作的古诗作品。
《登幽州台歌》,《登幽州台歌》是唐代诗人陈子昂的作品。这是一首吊古伤今的生命悲歌，从中可以看出诗人孤独遗世、独立苍茫的落寞情怀。此诗通过描写登楼远眺，凭今吊古所引起的无限感慨，抒发了诗人抑郁已久的悲愤之情，深刻地揭示了封建社会中那些怀才不遇的知识分子遭受压抑的境遇，表达了他们在理想破灭时孤寂郁闷的心情，具有深刻的典型社会意义。全诗语言苍劲奔放，富有感染力，结构紧凑连贯，又留有充分的空间：前二句俯仰古今，写出时间漫长；第三句登楼眺望，写出空间辽阔；在广阔无垠的时空背景中，第四句描绘了诗人孤独寂寞苦闷的情绪，两相映照，分外动人，读来酣畅淋漓又余音缭绕。
《登泽州城北楼宴》,登泽州城北楼宴，是唐代大诗人陈子昂，在参加第二次契丹战役后，返回洛阳在途中写下这首怀古五言古诗。此诗是陈子昂最优秀的怀古诗之一。诗中提到秦国大将武安侯白起，他曾在长平大败赵国军队。在陈子昂之后一百年，李贺也访问了这一战场，写下著名的《长平箭头歌》。
《度大庾岭》,《度大庾岭》是唐代诗人宋之问被贬大庾岭时所作的一首诗。此诗表达了作者对被贬边远之地的不满情绪以及盼望有朝一日得以赦免回京的心情。全诗感情真挚，情景交融，章法严谨，音韵谐婉，属对精密，词藻华美，尤其突出的是诗人巧妙地将写景与抒情紧密地结合在一起，既表现出景致优美，又表现出诗人对自己赦免返京的前途充满信心。
《杜审言诗集》,《杜审言诗集》是唐代诗人杜审言的诗集。杜审言，字必简，襄州襄阳人，是杜甫的祖父。高宗咸亨进士，中宗时，因与张易之兄弟交往，被流放峰州。曾任隰城尉、洛阳丞等小官，累官修文馆直学士，少与李峤、崔融、苏味道齐名，称“文章四友”，是唐代“近体诗”的奠基人之一，作品多朴素自然。其五言律诗，格律谨严。王夫之评说杜诗时指出：“近体，梁陈已有，至于杜审言者而始业叶于度。”
《高常侍集》,十卷
《岑嘉州诗集》,唐代著名诗人岑参著。他是唐代著名的边塞诗人。其诗歌富有浪漫主义的特色，气势雄伟，想象丰富，色彩瑰丽，热情奔放，尤其擅长七言歌行。
《王摩诘文集》,《王摩诘文集》是2003年北京图书馆出版社出版的图书，作者是王维。
《孟浩然集》,别集名。唐孟浩然作，唐王士源编。三卷。凡诗二百一十八首。
《过故人庄》,《过故人庄》是唐代诗人孟浩然创作的一首五律，写的是诗人应邀到一位农村老朋友家做客的经过。在淳朴自然的田园风光之中，主客举杯饮酒，闲谈家常，充满了乐趣，抒发了诗人和朋友之间真挚的友情。这首诗初看似乎平淡如水，细细品味就像是一幅画着田园风光的中国画，将景、事、情完美地结合在一起，具有强烈的艺术感染力。
《春晓》,《春晓》是唐代诗人孟浩然隐居在鹿门山时所作，诗人抓住春天的早晨刚刚醒来时的一瞬间展开联想，描绘了一幅春天早晨绚丽的图景，抒发了诗人热爱春天、珍惜春光的美好心情。首句破题，写春睡的香甜；也流露着对朝阳明媚的喜爱；次句即景，写悦耳的春声，也交代了醒来的原因；三句转为写回忆，末句又回到眼前，由喜春翻为惜春。全诗语言平易浅近，自然天成，言浅意浓，景真情真，深得大自然的真趣。
《宿建德江》,《宿建德江》是唐代诗人孟浩然的代表作之一。这是一首刻画秋江暮色的诗，是唐人五绝中的写景名篇。作者把小船停靠在烟雾迷蒙的江边想起了以往的事情，因而以舟泊暮宿作为自己的抒发感情的归宿，写出了作者羁旅之思。第一句点题，也为下面写景抒情作了准备；第二句中“日暮”是“客愁新”的原因；最后两句，因为“野旷”所以天低于树，因为“江清”所以月能近人，天和树、人和月的关系，写得恰切逼真。此诗前两句为触景生情，后两句为借景抒情，描写了清新的秋夜，突出表现了细微的景物特点。全诗淡而有味，含而不露，自然流出，风韵天成，颇有特色。
《黄鹤楼》,《黄鹤楼》是唐代诗人崔颢创作的一首七言律诗。此诗描写了在黄鹤楼上远眺的美好景色，是一首吊古怀乡之佳作。这首诗首联巧用典故由仙人乘鹤归去引出黄鹤楼；颔联紧承首联，说自从仙人离去，黄鹤楼已经历经千百年之久；颈联诗意一转，进入景物描写，写晴日在黄鹤楼所见之景；尾联以写烟波江上日暮怀归之情作结，使诗意重归于开头那种渺茫不可见的境界。全诗虽不协律，但音节嘹亮而不拗口，信手而就，一气呵成；情景交融，意境深远。
《辽西作》,《辽西作》是唐代诗人崔颢创作的一首五言古诗，一题《辽西》。这首诗写在辽西地区征战士兵艰苦的守边生活，饱含同情。全诗语言平实，层次清晰，格调刚健，境界沉雄。
《崔颢集》,《崔颢集》诗别集，由唐代崔颢创作，共二卷。
《咏柳》,《咏柳》是盛唐诗人贺知章写的一首七言绝句。这首诗是一首咏物诗。诗的前两句连用两个新美的喻象，描绘春柳的勃勃生气，葱翠袅娜；后两句更别出心裁地把春风比喻为“剪刀”，将视之无形不可捉摸的“春风”形象地表现出来，不仅立意新奇，而且饱含韵味。
《回乡偶书二首》,《回乡偶书二首》是唐代诗人贺知章的组诗作品，写于作者晚年辞官还乡之时。第一首诗在抒发作者久客他乡的伤感的同时，也写出了久别回乡的亲切感；第二首诗抓住了家乡的变与不变的对比，流露出作者对生活变迁、岁月沧桑、物是人非的感慨与无奈之情。这两首诗语言朴实无华，感情自然逼真，充满生活情趣。
《出塞》,《出塞》是唐朝诗人王昌龄创作的一首七言绝句。此诗内容主要是慨叹远征之苦，良将之苦，体现出了诗人对家国的爱重和维护、对战争胜利的渴望与期盼以及对良将的信心。
《从军行七首》,《从军行七首》是唐代诗人王昌龄的组诗作品。第一首诗刻画了边疆戍卒怀乡思亲的情景；第二首诗描写征戍者在军中听乐观舞所引起的边愁；第三首诗描写古战场的荒凉景象，写将军上表请求归葬战死将士骸骨，表现将帅对士卒的爱护之情；第四首诗表现战士们为保卫祖国矢志不渝的崇高精神；第五首诗描写奔赴前线的戍边将士听到前方部队首战告捷的消息时的欣喜心情，反映了唐军强大的战斗力；第六首诗描写将军欲奔赴边关杀敌立功的急切心情；第七首诗主要描写山峦叠嶂、烽火遍布的边塞景观。全诗意境苍凉，慷慨激昂，充分显示出盛唐气象。
《芙蓉楼送辛渐》,《芙蓉楼送辛渐二首》是唐代诗人王昌龄的组诗作品，作于作者被贬为江宁县丞时。第一首写的是第二天早晨作者在江边送别辛渐的情景；第二首写的是第一天晚上作者在芙蓉楼为辛渐饯别的情景。全诗即景生情，寓情于景，含蓄蕴藉，韵味无穷。
《闺怨》,这是唐代诗人王昌龄描写上流贵妇赏春时心理变化的一首闺怨诗。唐代前期，国力强盛。从军远征，立功边塞，成为人们“觅封侯”的重要途径。诗中的“闺中少妇”和她的丈夫对这一道路也同样充满了幻想。
《登鹳雀楼》,《登鹳雀楼》是盛唐诗人王之涣创作的一首诗。此诗前两句写的是自然景色，但开笔就有缩万里于咫尺，使咫尺有万里之势；后两句写意，写的出人意料，把哲理与景物、情势溶化得天衣无缝，成为鹳雀楼上一首不朽的绝唱。
《凉州词》,《凉州词二首》是唐代诗人王之涣的组诗作品。第一首诗以一种特殊的视角描绘了黄河远眺的特殊感受，同时也展示了边塞地区壮阔、荒凉的景色，悲壮苍凉，流落出一股慷慨之气，边塞的酷寒正体现了戍守边防的征人回不了故乡的哀怨，这种哀怨不消沉，而是壮烈广阔。第二首诗反映的是唐朝与北方少数民族之间的关系。诗歌以汉代唐，写一位边地首领到唐朝来求和亲而未能如愿，通过描写其行动与心理，从侧面烘托唐朝国势的强盛。
《静夜思》,《静夜思》是唐代诗人李白所作的一首五言古诗。此诗描写了秋日夜晚，诗人于屋内抬头望月的所感。诗中运用比喻、衬托等手法，表达客居思乡之情，语言清新朴素而韵味含蓄无穷，历来广为传诵。
《蜀道难》,《蜀道难》是中国唐代伟大诗人李白的代表作品。此诗袭用乐府旧题，以浪漫主义的手法，展开丰富的想象，艺术地再现了蜀道峥嵘、突兀、强悍、崎岖等奇丽惊险和不可凌越的磅礴气势，借以歌咏蜀地山川的壮秀，显示出祖国山河的雄伟壮丽，充分显示了诗人的浪漫气质和热爱自然的感情。全诗二百九十四字，采用律体与散文间杂，文句参差，笔意纵横，豪放洒脱，感情强烈，一唱三叹。诗中诸多的画面此隐彼现，无论是山之高，水之急，河山之改观，林木之荒寂，连峰绝壁之险，皆有逼人之势，气象宏伟，境界阔大，集中体现了李白诗歌的艺术特色和创作个性。清代诗评家沈德潜评此诗：“笔势纵横，如虬飞蠖动，起雷霆于指顾之间。”
